,Timestamp,FIT-800-00/BLOCK1/OUT.CV lb/min,FIT-800-00/DENSITY/OUT.CV kg/m3,FIT-800-00/TEMP/OUT.CV °C,FIT-800-00/VOL_FLOW/OUT.CV L/min,FIT-800-01/BLOCK1/OUT.CV gal/min,FIT-800-02/BLOCK1/OUT.CV gal/min,FIT-800-03/BLOCK1/OUT.CV gal/min,FIT-800-04/BLOCK1/OUT.CV gal/min,FSC-800-01/FCS-600-01_OUT/OUT.CV %,FSC-800-01/FCS-600-01_OUT/PV.CV no units,FSC-800-01/FCS-600-01_OUT/SP.CV no units,PIC-800_SLAVE/PID1/OUT.CV %,PIC-800_SLAVE/PID1/PV.CV psig,PIC-800_SLAVE/PID1/SP.CV psig,PIT-800-00/AI1/OUT.CV psi,PIT-800-01/AI1/OUT.CV psi,PIT-800-02/AI1/OUT.CV psi,PIT-800-03/AI1/OUT.CV psi,PIT-800-04/AI1/OUT.CV psi,TE-800-01/AI1/OUT.CV °C,TE-800-02/AI1/OUT.CV °C,TE-800-03/AI1/OUT.CV °C,TE-800-04/AI1/OUT.CV °C,TE-800-05/AI1/OUT.CV °C,TE-800-06/AI1/OUT.CV °C,TE-800-07/AI1/OUT.CV °C,TE-800-08/AI1/OUT.CV °C,TE-800-09/AI1/OUT.CV °C,TE-800-10/AI1/OUT.CV °C,TE-800-11/AI1/OUT.CV °C,TE-800-12/AI1/OUT.CV °C,TE-800-13/AI1/OUT.CV °C,TE-800-14/AI1/OUT.CV °C,TE-800-15/AI1/OUT.CV °C,TE-800-16/AI1/OUT.CV °C,TIC-800_MASTER/PID1/PV.CV °C,TIC-800_MASTER/PID1/SP.CV °C,TT-800-00F/AI1/OUT.CV °C,TT-800-00P/AI1/OUT.CV °C,TT-800-01P/AI1/OUT.CV °C,TT-800-02P/AI1/OUT.CV °C,TT-800-03P/AI1/OUT.CV °C,TT-800-04P/AI1/OUT.CV °C
653,2025-04-08 15:48:50-04:00,1.7218855619430542,15.411041259765623,154.29360961914062,52.37353897094727,15.016212463378906,10.076104164123535,-0.0013350712833926,6.487087249755859,47.556785583496094,47.56341552734375,47.56035614013672,48.11037826538086,24.85694694519043,24.979999542236328,24.98211669921875,2.228627920150757,4.044690132141113,24.481433868408203,0.8311412334442139,25.29754638671875,33.62884521484375,32.715606689453125,26.0986328125,10.9100341796875,23.150634765625,128.38134765625,127.91671752929688,20.6512451171875,20.587158203125,25.1373291015625,24.640655517578125,23.05450439453125,23.05450439453125,23.326873779296875,23.05450439453125,32.715606689453125,32.715606689453125,154.14208984375,28.05355834960937,26.881134033203125,24.763397216796875,21.300689697265625,25.49810791015625
654,2025-04-08 15:49:00-04:00,1.7028117179870603,14.80201816558838,154.5438232421875,52.3357048034668,15.016212463378906,10.076104164123535,-0.0013350712833926,6.487087249755859,47.5732536315918,47.57757186889648,47.56815719604492,48.16048049926758,24.92131996154785,24.979999542236328,25.017885208129883,2.228627920150757,4.044690132141113,24.463552474975582,0.8096832633018494,25.281524658203125,33.484649658203125,32.6995849609375,26.0986328125,10.926055908203123,23.150634765625,128.42941284179688,127.64434814453124,20.68328857421875,20.635223388671875,25.1373291015625,24.640655517578125,23.0865478515625,23.0865478515625,23.37493896484375,23.05450439453125,32.6995849609375,32.6995849609375,154.31427001953125,28.05355834960937,26.85564994812012,24.763397216796875,21.300689697265625,25.49810791015625
655,2025-04-08 15:49:10-04:00,1.7028117179870603,15.309478759765623,154.80441284179688,53.49515914916992,14.98760223388672,10.076104164123535,-0.0013350712833926,6.503776550292969,47.601165771484375,47.591400146484375,47.60831069946289,48.07597351074219,25.032190322875977,24.979999542236328,24.98569869995117,2.228627920150757,4.044690132141113,24.431365966796875,0.8382938504219055,25.281524658203125,33.69293212890625,32.715606689453125,26.114654541015625,10.94207763671875,23.150634765625,128.30123901367188,127.5482177734375,20.68328857421875,20.635223388671875,25.1373291015625,24.640655517578125,23.0865478515625,23.0865478515625,23.37493896484375,23.038482666015625,32.715606689453125,32.715606689453125,154.5667724609375,28.05355834960937,26.85564994812012,24.763397216796875,21.300689697265625,25.49810791015625
656,2025-04-08 15:49:20-04:00,1.7028117179870603,15.393143653869627,155.0099334716797,51.73044967651367,14.98760223388672,10.076104164123535,-0.0013350712833926,6.489471435546875,47.58090591430664,47.572078704833984,47.57283401489258,48.28668212890625,24.896286010742188,24.979999542236328,25.04649543762207,2.211580991744995,4.044690132141113,24.402751922607425,0.8382938504219055,25.281524658203125,33.676910400390625,32.6995849609375,26.0986328125,10.958099365234377,23.150634765625,128.3172607421875,127.50015258789062,20.68328857421875,20.61920166015625,25.121307373046875,24.640655517578125,23.070526123046875,23.070526123046875,23.37493896484375,23.0224609375,32.6995849609375,32.6995849609375,154.83082580566406,28.05355834960937,26.85564994812012,24.763397216796875,21.300689697265625,25.49810791015625
657,2025-04-08 15:49:30-04:00,1.7051961421966553,14.480545997619627,155.2624969482422,51.48385620117188,14.998092651367188,10.076104164123535,-0.0013350712833926,6.499961853027344,47.57648468017578,47.559349060058594,47.57079315185547,48.33808135986328,24.903438568115234,24.979999542236328,24.95708274841309,2.211580991744995,4.044690132141113,24.470705032348636,0.8239885568618774,25.281524658203125,33.50067138671875,32.6995849609375,26.0986328125,10.97412109375,23.150634765625,128.34930419921875,127.51617431640624,20.6512451171875,20.603179931640625,25.1373291015625,24.640655517578125,23.070526123046875,23.070526123046875,23.3428955078125,23.05450439453125,32.6995849609375,32.6995849609375,155.0260009765625,28.05355834960937,26.85564994812012,24.763397216796875,21.300689697265625,25.49810791015625
658,2025-04-08 15:49:40-04:00,1.6861222982406616,14.349428176879885,155.50360107421875,53.24143600463867,15.011444091796877,10.09231662750244,-0.0013350712833926,6.499961853027344,47.53610229492188,47.54209899902344,47.53178405761719,48.22366714477539,25.060800552368164,24.979999542236328,25.12874984741211,2.211580991744995,4.044690132141113,24.459976196289062,0.8239885568618774,25.281524658203125,33.420562744140625,32.6995849609375,26.0986328125,11.00616455078125,23.150634765625,128.26919555664062,127.6763916015625,20.69931030273437,20.6512451171875,25.1373291015625,24.640655517578125,23.0865478515625,23.0865478515625,23.37493896484375,23.038482666015625,32.6995849609375,32.6995849609375,155.27857971191406,28.05355834960937,26.85564994812012,24.763397216796875,21.300689697265625,25.49810791015625
659,2025-04-08 15:49:50-04:00,1.7040040493011477,14.420029640197754,155.69195556640625,53.48189926147461,15.011444091796877,10.080872535705566,-0.0013350712833926,6.486610412597656,47.57905578613281,47.597564697265625,47.57905578613281,48.11054611206055,25.01430892944336,24.979999542236328,25.085834503173828,2.2239787578582764,4.044690132141113,24.485010147094727,0.8132595419883728,25.281524658203125,33.516693115234375,32.73162841796875,26.08261108398437,11.022186279296877,23.166656494140625,128.30123901367188,127.83660888671876,20.68328857421875,20.61920166015625,25.1373291015625,24.640655517578125,23.0865478515625,23.070526123046875,23.37493896484375,23.0224609375,32.73162841796875,32.73162841796875,155.53115844726562,28.05355834960937,26.85564994812012,24.763397216796875,21.300689697265625,25.52670288085937
660,2025-04-08 15:50:00-04:00,1.6658564805984497,14.363310813903809,155.90322875976562,53.47203063964844,14.990463256835938,10.06179904937744,-0.0013350712833926,6.486610412597656,47.5503158569336,47.56032943725586,47.55577087402344,47.96166229248047,25.064376831054688,24.979999542236328,25.103715896606445,2.191434621810913,4.044690132141113,24.44924736022949,0.8239885568618774,25.2655029296875,33.708953857421875,32.6995849609375,26.0986328125,11.054229736328123,23.150634765625,128.38134765625,127.91671752929688,20.667266845703125,20.603179931640625,25.1373291015625,24.640655517578125,23.070526123046875,23.070526123046875,23.358917236328125,22.99041748046875,32.6995849609375,32.6995849609375,155.71490478515625,28.05355834960937,26.85564994812012,24.763397216796875,21.300689697265625,25.497833251953125
661,2025-04-08 15:50:10-04:00,1.668240666389465,14.189544677734377,156.09158325195312,53.078369140625,14.990463256835938,10.078011512756348,-0.0013350712833926,6.486610412597656,47.54503631591797,47.55080032348633,47.54433441162109,47.84074020385742,25.000003814697266,24.979999542236328,24.964235305786133,2.2239787578582764,4.044690132141113,24.41705703735352,0.8132595419883728,25.281524658203125,33.420562744140625,32.6995849609375,26.06658935546875,11.07025146484375,23.166656494140625,128.41339111328125,127.86865234375,20.635223388671875,20.57113647460937,25.089263916015625,24.608612060546875,23.038482666015625,23.038482666015625,23.326873779296875,23.05450439453125,32.6995849609375,32.6995849609375,155.92160034179688,28.05355834960937,26.85564994812012,24.763397216796875,21.300689697265625,25.52584648132324
662,2025-04-08 15:50:20-04:00,1.668240666389465,14.64964485168457,156.2718963623047,52.79434585571289,15.008583068847656,10.078011512756348,-0.0013350712833926,6.458476066589356,47.58523941040039,47.59223175048828,47.58119201660156,47.93830871582031,24.964235305786133,24.979999542236328,24.853370666503903,2.2131307125091557,4.044690132141113,24.45639991760254,0.8311412334442139,25.2655029296875,33.50067138671875,32.683563232421875,26.08261108398437,11.086273193359377,23.166656494140625,128.41339111328125,127.88467407226562,20.69931030273437,20.635223388671875,25.1373291015625,24.6246337890625,23.070526123046875,23.070526123046875,23.39096069335937,23.05450439453125,32.683563232421875,32.683563232421875,156.11685180664062,28.05355834960937,26.829620361328125,24.763397216796875,21.300689697265625,25.497528076171875
